timestamp,current_replicas
1757890387,2
1757890400,1
1757890414,1
1757890429,1
1757890445,1
1757890460,2
1757890475,2
1757890490,2
1757890505,2
1757890519,2
1757890534,2
1757890549,2
1757890564,2
1757890578,3
1757890593,3
1757890608,3
1757890622,3
1757890637,3
1757890652,3
1757890666,3
1757890681,3
1757890696,3
1757890710,3
1757890725,3
1757890740,3
1757890755,3
1757890769,3
1757890785,3
1757890799,3
1757890815,3
1757890830,3
1757890845,3
1757890860,3
1757890874,3
1757890889,3
1757890904,3
1757890919,3
1757890933,3
1757890948,3
1757890962,3
1757890977,3
1757890992,3
1757891006,3
1757891021,3
1757891035,3
1757891050,3
1757891065,3
1757891079,3
1757891094,3
1757891109,3
1757891123,3
1757891138,3
1757891153,3
1757891167,3
1757891182,3
1757891197,3
1757891212,3
1757891226,3
1757891241,3
1757891255,3
1757891270,3
1757891285,3
