Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,22069,0,79,92.31212732339004,10.239800001727417,514.50860001205,10025.138474783633,24.55681863658255,0.0,79,100,120,140,170,210,250,290,410,500,510
GET,GET / (warmup),300,0,370.0,377.7385939998688,117.03359999228269,641.5674000018043,9983.0,0.3338187317492757,0.0,370,420,440,460,510,580,620,620,640,640,640
GET,GET /cart,8846,0,69,79.34349866610408,10.9431000018958,499.3189000088023,10623.195794709472,9.843201670180308,0.0,69,88,100,110,140,180,220,250,350,500,500
GET,GET /logout,4408,0,91,104.44456156985817,14.317000008304603,507.41850001213606,9983.0,4.90490989850269,0.0,91,120,140,150,190,220,270,310,420,510,510
GET,GET /product/:id,13072,0,68,78.48743727818602,9.06369999574963,482.95089999737684,7588.567319461445,14.545594871421772,0.0,69,88,100,110,140,170,210,230,340,400,480
GET,GET /static/*,4390,0,13,15.214357038671873,3.0260000057751313,223.96489999664482,32463.45056947608,4.884880774597733,0.0,13,16,19,21,26,33,43,49,73,220,220
POST,POST /cart,8625,0,110.0,122.14723285801196,20.04980000492651,583.0194000009215,16888.93136231884,9.597288537791675,0.0,110,140,160,170,210,250,300,340,470,580,580
POST,POST /cart (checkout prep),4289,0,110.0,122.16397050597165,19.023500004550442,620.648899988737,16892.486826766148,4.772495134908811,0.0,110,140,160,170,210,250,310,340,510,620,620
POST,POST /cart/checkout,4289,0,94,103.61917491258374,23.160900003858842,367.17830000270624,6440.869666588948,4.772495134908811,0.0,94,110,130,140,170,200,230,270,340,370,370
POST,POST /cart/empty,4397,0,100.0,115.99225126217955,18.064000003505498,522.7834999968763,9990.546054127815,4.89266987833855,0.0,100,130,150,170,210,250,290,330,480,520,520
POST,POST /setCurrency,4487,0,92,105.25032788050765,15.546099995844997,549.678799987305,10033.709828393135,4.992815497863333,0.0,92,120,140,150,190,230,270,310,450,550,550
,Aggregated,79172,0,80,93.59092714975698,3.0260000057751313,641.5674000018043,11855.495895013388,88.09698876684551,0.0,80,110,120,140,180,210,270,310,480,620,640
