timestamp,current_replicas
1757893661,2
1757893672,2
1757893684,2
1757893696,2
1757893707,2
1757893719,2
1757893731,2
1757893744,2
1757893756,6
1757893768,6
1757893780,6
1757893792,6
1757893804,6
1757893815,6
1757893827,6
1757893839,6
1757893850,6
1757893864,6
1757893875,7
1757893887,7
1757893899,7
1757893911,7
1757893922,7
1757893934,7
1757893946,7
1757893958,7
1757893970,7
1757893981,7
1757893993,7
1757894005,7
1757894017,7
1757894028,7
1757894040,7
1757894052,7
1757894064,7
1757894075,7
1757894087,7
1757894099,7
1757894111,7
1757894122,7
1757894134,7
1757894146,7
1757894157,7
1757894169,7
1757894181,7
1757894192,7
1757894204,7
1757894216,7
1757894228,7
1757894239,7
1757894251,7
1757894263,7
1757894274,7
1757894286,7
1757894297,7
1757894309,7
1757894321,7
1757894332,7
1757894344,7
1757894356,7
1757894367,7
1757894379,7
1757894391,7
1757894403,7
1757894415,7
1757894426,7
1757894438,7
1757894450,7
1757894461,7
1757894473,7
1757894485,7
1757894496,7
1757894508,7
1757894520,7
1757894531,7
1757894543,7
1757894555,7
1757894567,7
1757894578,7
1757894589,7
