Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,22412,0,10,36.242280033015916,4.4034000020474195,8506.03120001324,10023.37560235588,24.95242212833964,0.0,10,12,13,14,17,20,27,42,7300,8300,8500
GET,GET / (warmup),300,0,220.0,214.91316299963123,54.24430000130087,366.83369999809656,9981.0,0.3340052935258742,0.0,220,240,260,270,290,320,340,340,370,370,370
GET,GET /cart,8952,0,10,39.35754422478946,4.573099999106489,8359.032399996067,10630.776139410187,9.966717958812087,0.0,10,11,13,13,16,20,27,40,8000,8400,8400
GET,GET /logout,4387,0,16,48.86886136312073,7.9311000008601695,8363.141099995119,9981.0,4.8842707423267,0.0,16,18,19,21,24,29,38,62,7500,8400,8400
GET,GET /product/:id,13222,0,10,32.991064180837675,4.218499991111457,8290.560399997048,7587.622296173045,14.720726636663697,0.0,10,11,12,13,16,19,25,37,7200,8000,8300
GET,GET /static/*,4430,0,7,37.30203013543713,2.8117000038037077,8335.68259999447,32268.30586907449,4.932144834398742,0.0,7,9,10,11,13,16,20,27,7800,8300,8300
POST,POST /cart,9008,0,18,56.54697706468045,9.10660000226926,8453.921299995272,16898.881993783303,10.029065613603583,0.0,18,20,22,23,28,33,49,64,8000,8500,8500
POST,POST /cart (checkout prep),4499,0,18,43.82460593462258,10.00219999696128,8299.574300006498,16899.41031340298,5.0089660519096935,0.0,18,20,22,23,27,32,42,61,7800,8300,8300
POST,POST /cart/checkout,4499,0,12,13.584321938320628,4.384899992146529,103.8614000135567,6439.318515225606,5.0089660519096935,0.0,12,14,15,17,20,24,33,38,64,100,100
POST,POST /cart/empty,4462,0,16,37.19493363960278,7.563200008007698,8429.025799996452,9988.060510981622,4.967772065708169,0.0,16,18,20,21,25,29,36,46,7500,8400,8400
POST,POST /setCurrency,4381,0,16,32.53897142211065,8.629999996628612,8288.401999991038,10031.792513124858,4.877590636456183,0.0,16,18,20,21,24,30,43,60,7400,8300,8300
,Aggregated,80552,0,12,38.74619087543909,2.8117000038037077,8506.03120001324,11863.215872976463,89.68264801365406,0.0,12,15,17,18,22,26,37,67,7600,8400,8500
